               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11585,            0.015007,            0.025841,          0.00043426,            0.099925,           0.0010971,          0.00025852,             0.10843,            0.012914,            0.021416,            0.070073,           0.0033252,           0.0033252
                   1,             0.10367,            0.012938,            0.018774,              0.7913,            0.041134,            0.022023,           0.0052076,            0.096224,            0.013315,            0.017987,             0.04004,           0.0066256,           0.0066256
                   2,            0.097192,            0.012205,              0.0166,             0.80228,            0.053607,              0.0373,            0.010485,            0.094044,            0.012037,            0.017565,           0.0099741,            0.009893,            0.009893
                   3,            0.095258,            0.012178,            0.015807,             0.22402,             0.13331,            0.071733,            0.020237,            0.089094,            0.012322,            0.015172,           0.0098515,           0.0098515,           0.0098515
                   4,            0.093079,            0.012029,            0.015074,             0.37187,             0.14802,             0.08929,            0.029104,            0.087334,            0.011798,            0.014087,           0.0098515,           0.0098515,           0.0098515
                   5,            0.091618,            0.011871,            0.014185,             0.37765,             0.11121,            0.074146,              0.0243,            0.088036,            0.012752,            0.014185,            0.009802,            0.009802,            0.009802
