               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045452,            0.065374,            0.016453,             0.66862,             0.60389,             0.68735,             0.44983,            0.041355,            0.037889,            0.010596,              0.0937,              0.0007,              0.0007
                   1,            0.043847,            0.061839,            0.017292,             0.73172,             0.62424,             0.71799,             0.48047,            0.040514,            0.036866,           0.0093307,            0.086005,            0.001005,            0.001005
                   2,            0.044725,             0.07081,            0.016429,              0.7507,             0.65023,             0.73692,             0.48448,            0.040033,            0.036179,            0.008621,            0.077782,            0.000782,            0.000782
