               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11603,             0.01555,            0.024697,          0.00053003,             0.11921,           0.0017867,          0.00056376,             0.10481,            0.012038,            0.020992,            0.070146,           0.0033171,           0.0033171
                   1,              0.1029,            0.012972,            0.017472,             0.79657,            0.040974,            0.023912,           0.0071747,            0.094935,            0.011717,            0.018198,            0.040124,           0.0066285,           0.0066285
                   2,            0.096736,            0.011992,             0.01574,              0.8083,              0.0481,            0.034629,            0.009909,            0.092691,             0.01298,             0.01686,             0.01008,           0.0099178,           0.0099178
                   3,            0.094424,            0.012156,            0.014847,             0.10234,             0.10197,            0.040856,            0.013027,            0.090676,            0.012636,            0.016619,            0.009901,            0.009901,            0.009901
                   4,            0.091562,            0.012182,            0.013948,             0.11532,              0.1009,            0.050844,            0.015658,            0.090333,            0.012117,            0.015338,            0.009901,            0.009901,            0.009901
