               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1018,            0.020178,            0.036328,             0.79548,            0.045878,            0.022749,           0.0072609,            0.084577,             0.01726,            0.019758,            0.070073,           0.0033252,           0.0033252
                   1,            0.082961,            0.017131,            0.017764,             0.59619,            0.097511,            0.067672,            0.021947,            0.074452,              0.0177,            0.013812,             0.04004,           0.0066256,           0.0066256
                   2,            0.079861,            0.016897,            0.014567,             0.34414,            0.082839,            0.065653,            0.022049,            0.077965,            0.017701,            0.014761,           0.0099741,            0.009893,            0.009893
