               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093215,             0.01155,            0.020688,             0.36794,             0.19986,             0.17598,            0.060423,            0.079692,            0.011615,            0.011158,            0.070073,           0.0033252,           0.0033252
                   1,            0.084847,            0.011612,            0.011996,             0.38357,             0.20792,             0.17936,            0.070423,            0.078691,            0.011476,            0.010875,             0.04004,           0.0066256,           0.0066256
                   2,            0.084575,             0.01154,            0.011409,             0.37529,             0.19724,             0.19035,            0.071758,            0.078458,            0.011286,            0.010421,           0.0099741,            0.009893,            0.009893
                   3,            0.084869,            0.011497,            0.011332,             0.32288,             0.21734,             0.17247,            0.059618,            0.080373,            0.011449,            0.011725,           0.0098515,           0.0098515,           0.0098515
                   4,            0.084372,            0.011444,            0.011185,             0.32995,              0.2239,             0.17747,            0.064466,            0.080181,            0.011527,            0.011306,           0.0098515,           0.0098515,           0.0098515
                   5,            0.083758,            0.011327,            0.010712,             0.33671,             0.19179,             0.15944,            0.064679,            0.080948,            0.011623,            0.011834,            0.009802,            0.009802,            0.009802
                   6,            0.083653,            0.011659,             0.01089,             0.43437,             0.19508,             0.19274,            0.068808,            0.079172,             0.01129,            0.011204,           0.0097525,           0.0097525,           0.0097525
                   7,            0.083265,            0.011409,            0.010316,             0.40262,             0.21743,             0.20461,            0.072798,            0.078715,            0.011314,            0.011866,            0.009703,            0.009703,            0.009703
                   8,            0.081867,            0.011172,            0.010344,             0.30176,              0.2329,             0.17888,            0.063502,             0.07933,            0.011528,            0.011362,           0.0096535,           0.0096535,           0.0096535
                   9,            0.083097,            0.011508,            0.010024,             0.33819,             0.20922,              0.1807,            0.069683,            0.079016,            0.011526,            0.011253,            0.009604,            0.009604,            0.009604
                  10,            0.082079,            0.011364,           0.0098482,             0.27215,             0.22667,             0.16844,            0.055728,            0.078624,            0.011463,            0.011643,           0.0095545,           0.0095545,           0.0095545
                  11,            0.082169,            0.011258,           0.0099129,             0.32597,              0.2295,             0.19067,            0.076409,            0.077496,            0.011305,            0.011825,            0.009505,            0.009505,            0.009505
                  12,            0.081301,            0.011384,           0.0095276,             0.29469,             0.21449,             0.18294,            0.069208,            0.078379,            0.011283,            0.011374,           0.0094555,           0.0094555,           0.0094555
                  13,            0.081552,            0.010982,           0.0097188,             0.37405,             0.20484,              0.1874,            0.069422,            0.079061,            0.011547,            0.012234,            0.009406,            0.009406,            0.009406
                  14,            0.081143,            0.011451,           0.0090954,             0.32431,             0.22641,             0.19129,            0.072011,            0.077916,            0.011331,            0.012165,           0.0093565,           0.0093565,           0.0093565
                  15,             0.08034,            0.011375,           0.0087925,             0.31145,              0.1991,             0.18442,            0.068645,            0.076893,            0.011213,            0.011888,            0.009307,            0.009307,            0.009307
                  16,            0.080527,            0.011043,           0.0090305,             0.31678,             0.22812,             0.18403,            0.067977,            0.076504,            0.011735,            0.011194,           0.0092575,           0.0092575,           0.0092575
                  17,            0.080565,            0.010976,           0.0088136,             0.33805,             0.18943,             0.17799,            0.069832,            0.076625,            0.011334,            0.012107,            0.009208,            0.009208,            0.009208
                  18,            0.080461,            0.011421,           0.0086836,             0.27434,             0.23187,             0.17643,            0.066697,            0.076734,            0.011259,            0.011521,           0.0091585,           0.0091585,           0.0091585
                  19,            0.080031,            0.010974,            0.008701,             0.26926,             0.22584,             0.18566,            0.070835,            0.076956,            0.011466,            0.012161,            0.009109,            0.009109,            0.009109
                  20,            0.079736,            0.010893,           0.0088574,             0.32084,             0.22526,             0.18691,            0.070033,            0.076724,            0.011228,            0.011574,           0.0090595,           0.0090595,           0.0090595
                  21,             0.07946,            0.011161,           0.0084817,             0.32721,             0.21307,             0.19103,            0.069627,            0.076614,             0.01137,            0.012643,             0.00901,             0.00901,             0.00901
                  22,            0.079416,            0.010834,           0.0083804,             0.36749,             0.19517,             0.17351,            0.063614,            0.077017,            0.011334,            0.011546,           0.0089605,           0.0089605,           0.0089605
                  23,            0.078799,            0.010883,           0.0080238,             0.32518,              0.2477,             0.20528,            0.076673,            0.075957,            0.011355,            0.011283,            0.008911,            0.008911,            0.008911
                  24,            0.078293,            0.010975,           0.0080685,             0.33277,             0.20428,             0.18332,            0.062333,            0.075751,            0.011401,            0.010872,           0.0088615,           0.0088615,           0.0088615
                  25,            0.078825,            0.011436,            0.008125,             0.32951,             0.20025,             0.18604,            0.071053,            0.075693,            0.011485,             0.01055,            0.008812,            0.008812,            0.008812
                  26,            0.078076,            0.011141,           0.0080757,             0.38531,             0.25418,              0.2133,            0.082386,            0.075378,             0.01165,           0.0098042,           0.0087625,           0.0087625,           0.0087625
                  27,            0.078054,             0.01096,           0.0079541,             0.40924,             0.22151,             0.20687,            0.074191,            0.075659,            0.011186,            0.012098,            0.008713,            0.008713,            0.008713
                  28,            0.078689,            0.011074,           0.0077894,             0.35039,             0.21368,             0.18522,            0.069449,            0.076453,             0.01133,             0.01314,           0.0086635,           0.0086635,           0.0086635
                  29,             0.07829,            0.010996,           0.0076655,             0.37533,             0.24214,             0.21769,            0.080485,            0.075524,             0.01133,             0.01113,            0.008614,            0.008614,            0.008614
                  30,            0.077806,            0.010888,            0.007611,             0.32985,             0.24921,             0.20235,            0.081736,            0.075676,            0.011201,            0.012048,           0.0085645,           0.0085645,           0.0085645
                  31,            0.077393,            0.011165,            0.007229,             0.33972,              0.2385,             0.19415,            0.076059,            0.076655,            0.011317,             0.01216,            0.008515,            0.008515,            0.008515
                  32,            0.077721,            0.011099,           0.0074294,             0.38882,             0.24314,             0.20207,            0.075662,            0.075612,            0.011294,             0.01157,           0.0084655,           0.0084655,           0.0084655
                  33,            0.077705,            0.010999,           0.0072895,             0.34456,             0.24484,             0.20915,            0.077701,            0.075831,            0.011259,            0.011888,            0.008416,            0.008416,            0.008416
                  34,             0.07647,            0.010944,            0.007399,             0.35857,             0.23079,             0.19935,            0.080982,            0.075102,            0.011342,            0.012406,           0.0083665,           0.0083665,           0.0083665
                  35,             0.07732,            0.011025,            0.007462,             0.33128,             0.23992,             0.21238,             0.08135,            0.075803,            0.011251,            0.011639,            0.008317,            0.008317,            0.008317
                  36,            0.076836,            0.011184,           0.0072549,             0.38882,             0.23453,             0.19518,             0.07138,            0.075768,            0.011149,            0.012318,           0.0082675,           0.0082675,           0.0082675
                  37,            0.076713,             0.01095,           0.0073549,             0.33958,             0.23923,             0.19314,            0.070818,            0.075135,            0.011413,            0.012925,            0.008218,            0.008218,            0.008218
                  38,            0.076984,            0.011176,           0.0067999,             0.29123,             0.21897,             0.17948,            0.069193,            0.076097,            0.011628,            0.013471,           0.0081685,           0.0081685,           0.0081685
                  39,            0.076546,            0.010937,            0.006838,              0.3668,              0.1905,             0.17939,            0.065878,            0.075479,            0.011371,            0.011799,            0.008119,            0.008119,            0.008119
                  40,            0.076717,             0.01097,           0.0070573,              0.3421,             0.24566,             0.19787,            0.076676,            0.074556,            0.011388,            0.012011,           0.0080695,           0.0080695,           0.0080695
                  41,            0.075546,            0.010952,           0.0064599,             0.33934,             0.22605,             0.20167,            0.079371,            0.075025,            0.011438,            0.012788,             0.00802,             0.00802,             0.00802
                  42,            0.076247,            0.010907,           0.0067386,             0.36072,             0.24916,             0.22027,            0.083925,            0.076409,            0.011314,            0.011814,           0.0079705,           0.0079705,           0.0079705
                  43,            0.075796,            0.010753,           0.0068324,             0.40147,             0.21803,             0.20048,            0.074265,            0.075107,            0.011346,            0.013243,            0.007921,            0.007921,            0.007921
                  44,            0.076324,             0.01112,            0.006746,             0.41859,             0.24315,             0.22188,            0.075885,            0.074125,            0.011261,            0.012252,           0.0078715,           0.0078715,           0.0078715
                  45,            0.074696,            0.010816,            0.006494,             0.34906,             0.23935,              0.2069,            0.075016,             0.07547,            0.011505,            0.013811,            0.007822,            0.007822,            0.007822
                  46,            0.076011,            0.011034,            0.006644,             0.35175,              0.2477,             0.21203,            0.074406,            0.074868,            0.011359,            0.013662,           0.0077725,           0.0077725,           0.0077725
                  47,            0.075173,            0.011054,           0.0064635,             0.41159,             0.20438,             0.20031,            0.076009,            0.074662,            0.011395,            0.013683,            0.007723,            0.007723,            0.007723
                  48,            0.074372,            0.010564,           0.0060443,             0.38332,             0.24173,             0.21379,            0.080522,            0.074968,            0.011357,            0.013896,           0.0076735,           0.0076735,           0.0076735
                  49,            0.073856,             0.01079,           0.0059467,             0.40238,             0.22871,             0.21266,            0.083322,            0.075133,            0.011292,            0.013199,            0.007624,            0.007624,            0.007624
                  50,            0.074282,            0.010929,           0.0061429,             0.35944,             0.24598,              0.2088,            0.076755,             0.07447,            0.011382,            0.013375,           0.0075745,           0.0075745,           0.0075745
                  51,            0.074534,            0.010857,           0.0059225,             0.34221,             0.24113,             0.20206,            0.075129,             0.07522,            0.011379,            0.013793,            0.007525,            0.007525,            0.007525
                  52,            0.073943,            0.010538,           0.0065075,             0.30165,               0.243,             0.18198,            0.072007,            0.075887,            0.011452,            0.012831,           0.0074755,           0.0074755,           0.0074755
                  53,            0.074161,            0.011012,           0.0063131,             0.34263,             0.24762,             0.21475,            0.077952,            0.074064,            0.011462,            0.011668,            0.007426,            0.007426,            0.007426
                  54,            0.073918,            0.010956,           0.0061088,             0.35244,              0.2501,             0.21219,            0.080241,            0.074099,            0.011449,            0.012557,           0.0073765,           0.0073765,           0.0073765
                  55,             0.07363,             0.01079,           0.0058682,              0.3441,             0.24476,              0.2179,            0.085588,            0.074151,             0.01138,            0.012338,            0.007327,            0.007327,            0.007327
                  56,            0.073622,            0.010906,           0.0060687,             0.39679,             0.22799,             0.21155,            0.081929,            0.074284,            0.011359,             0.01224,           0.0072775,           0.0072775,           0.0072775
                  57,            0.073218,            0.010603,           0.0058269,             0.42656,             0.24153,             0.22503,            0.084199,            0.074979,            0.011341,            0.012352,            0.007228,            0.007228,            0.007228
                  58,            0.073658,            0.010578,           0.0059712,             0.37059,             0.25576,             0.21502,            0.084417,            0.074368,             0.01145,            0.012659,           0.0071785,           0.0071785,           0.0071785
                  59,            0.073775,            0.010931,           0.0060963,              0.3756,             0.24743,             0.21454,            0.085345,            0.073675,            0.011374,            0.012124,            0.007129,            0.007129,            0.007129
                  60,            0.072874,            0.010686,           0.0056553,             0.35529,             0.23598,             0.20463,            0.078015,            0.074396,             0.01139,            0.012616,           0.0070795,           0.0070795,           0.0070795
                  61,            0.073198,            0.010506,           0.0059682,             0.38796,              0.2576,             0.21891,            0.081623,            0.073568,            0.011414,            0.012537,             0.00703,             0.00703,             0.00703
                  62,            0.072988,            0.010522,           0.0055745,             0.44423,             0.23817,              0.2237,             0.08033,            0.074891,            0.011427,            0.011983,           0.0069805,           0.0069805,           0.0069805
                  63,             0.07224,            0.010838,           0.0054661,             0.38006,             0.24855,             0.20895,            0.075674,            0.073878,            0.011444,            0.013426,            0.006931,            0.006931,            0.006931
                  64,            0.072701,            0.010589,           0.0055215,             0.39122,             0.23873,             0.21768,            0.081724,            0.073564,            0.011384,            0.013324,           0.0068815,           0.0068815,           0.0068815
                  65,            0.071308,            0.010755,           0.0051256,             0.33846,             0.24469,             0.21466,            0.083736,            0.073534,            0.011468,            0.013171,            0.006832,            0.006832,            0.006832
                  66,            0.071931,            0.010571,           0.0051795,             0.44959,             0.23382,             0.22343,            0.084064,             0.07368,            0.011398,            0.012039,           0.0067825,           0.0067825,           0.0067825
                  67,              0.0725,             0.01055,           0.0053748,             0.40058,             0.25408,              0.2218,            0.087095,            0.073738,             0.01136,            0.013424,            0.006733,            0.006733,            0.006733
                  68,            0.071248,            0.010649,           0.0056032,             0.35949,             0.25021,             0.22089,            0.082706,            0.073544,            0.011392,            0.012263,           0.0066835,           0.0066835,           0.0066835
                  69,            0.071288,             0.01067,           0.0055132,             0.36106,             0.24524,             0.21341,            0.083993,            0.074358,            0.011476,            0.012284,            0.006634,            0.006634,            0.006634
                  70,            0.070701,            0.010609,           0.0052691,             0.37809,             0.24029,             0.21002,            0.080428,            0.074026,            0.011478,            0.013174,           0.0065845,           0.0065845,           0.0065845
                  71,            0.071412,             0.01035,           0.0051612,             0.39356,             0.21185,               0.199,             0.07657,            0.074314,            0.011553,            0.013681,            0.006535,            0.006535,            0.006535
                  72,            0.070864,            0.010492,            0.005278,             0.45437,             0.22447,             0.21713,            0.082554,            0.074163,            0.011524,            0.013569,           0.0064855,           0.0064855,           0.0064855
                  73,            0.070904,             0.01014,           0.0051247,             0.38381,             0.22498,             0.20603,            0.079377,            0.075151,            0.011498,            0.013596,            0.006436,            0.006436,            0.006436
                  74,            0.070189,            0.010362,           0.0049601,             0.41738,             0.23375,             0.20024,             0.07573,            0.074675,            0.011554,            0.013274,           0.0063865,           0.0063865,           0.0063865
                  75,            0.070574,            0.010109,           0.0052513,             0.37352,             0.22383,             0.20304,            0.075962,            0.074431,            0.011548,            0.014099,            0.006337,            0.006337,            0.006337
                  76,            0.070353,            0.010212,           0.0047902,             0.38612,             0.25123,             0.21476,            0.075644,            0.074184,            0.011446,            0.013497,           0.0062875,           0.0062875,           0.0062875
                  77,            0.070138,            0.010454,           0.0048756,             0.43924,             0.24887,             0.22153,            0.080336,            0.074604,            0.011484,            0.013116,            0.006238,            0.006238,            0.006238
                  78,            0.069968,            0.010453,           0.0052358,             0.47418,             0.22937,              0.2191,             0.08149,            0.074108,            0.011421,            0.012985,           0.0061885,           0.0061885,           0.0061885
                  79,            0.070114,             0.01035,           0.0048597,             0.39946,             0.24451,             0.22145,            0.079551,            0.074252,            0.011482,            0.013901,            0.006139,            0.006139,            0.006139
                  80,            0.069688,            0.010364,           0.0046825,             0.38532,             0.23736,              0.2154,            0.078075,            0.073443,            0.011479,            0.013718,           0.0060895,           0.0060895,           0.0060895
                  81,            0.069095,            0.010286,            0.004995,             0.41097,             0.22849,             0.21138,            0.080211,            0.074023,            0.011556,            0.014202,             0.00604,             0.00604,             0.00604
                  82,            0.069341,            0.010323,           0.0046282,             0.35883,             0.24582,             0.21717,            0.082217,            0.074062,            0.011548,            0.013643,           0.0059905,           0.0059905,           0.0059905
                  83,            0.069578,            0.010463,           0.0048871,             0.44357,             0.23187,             0.22151,            0.084494,            0.073912,            0.011475,            0.013688,            0.005941,            0.005941,            0.005941
                  84,            0.069206,              0.0102,           0.0046965,             0.40077,             0.25253,             0.22967,            0.085776,            0.073667,            0.011533,            0.013026,           0.0058915,           0.0058915,           0.0058915
                  85,            0.068356,            0.010512,           0.0046262,             0.38961,             0.27733,              0.2403,            0.089751,            0.073476,             0.01155,            0.013557,            0.005842,            0.005842,            0.005842
                  86,            0.068477,            0.010173,           0.0046728,             0.41274,              0.2734,             0.24031,            0.090465,            0.073807,            0.011543,            0.013488,           0.0057925,           0.0057925,           0.0057925
                  87,            0.068759,            0.010382,           0.0049192,             0.41154,              0.2767,             0.22902,            0.089144,            0.074315,            0.011558,            0.014455,            0.005743,            0.005743,            0.005743
                  88,            0.068206,            0.009941,           0.0045894,             0.42023,             0.27256,             0.23793,            0.092563,            0.074816,            0.011487,            0.014195,           0.0056935,           0.0056935,           0.0056935
                  89,            0.067382,            0.010183,           0.0043969,             0.42947,             0.27321,             0.24467,            0.092443,            0.074714,            0.011508,            0.014235,            0.005644,            0.005644,            0.005644
                  90,            0.068614,            0.010266,           0.0045993,             0.45163,             0.25742,             0.23342,            0.089181,            0.074111,            0.011535,            0.014146,           0.0055945,           0.0055945,           0.0055945
                  91,            0.068133,            0.010081,           0.0045193,             0.49798,             0.24254,             0.23295,            0.090649,             0.07353,             0.01156,            0.013442,            0.005545,            0.005545,            0.005545
                  92,            0.068486,            0.010269,           0.0045916,             0.47509,             0.24287,             0.22662,            0.090853,            0.073914,            0.011533,            0.013353,           0.0054955,           0.0054955,           0.0054955
                  93,            0.067272,            0.010192,           0.0047702,             0.46496,             0.24076,             0.22839,            0.090592,            0.073931,            0.011527,            0.013268,            0.005446,            0.005446,            0.005446
                  94,            0.067042,            0.010125,           0.0041827,             0.44361,             0.25033,             0.22321,            0.085559,            0.073781,            0.011611,            0.013515,           0.0053965,           0.0053965,           0.0053965
                  95,            0.067061,           0.0099911,           0.0042585,             0.42265,             0.24297,             0.21216,            0.084118,            0.073807,            0.011711,             0.01361,            0.005347,            0.005347,            0.005347
