               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11424,            0.015787,            0.024541,             0.50269,             0.10105,           0.0063341,           0.0014196,            0.099755,            0.012586,            0.018167,            0.070059,           0.0033268,           0.0033268
                   1,              0.0996,            0.013514,            0.017147,             0.55893,            0.051954,            0.035074,            0.010269,            0.089054,            0.011479,            0.014879,            0.037861,           0.0044623,           0.0044623
                   2,            0.092663,            0.012114,            0.015372,             0.11483,             0.15134,             0.06911,            0.022302,            0.084376,            0.011133,            0.013092,            0.003463,           0.0033978,           0.0033978
