               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1018,            0.020178,            0.036328,             0.79548,            0.045878,            0.022749,           0.0072609,            0.084577,             0.01726,            0.019758,            0.070073,           0.0033252,           0.0033252
                   1,            0.082961,            0.017131,            0.017764,             0.59619,            0.097511,            0.067672,            0.021947,            0.074452,              0.0177,            0.013812,             0.04004,           0.0066256,           0.0066256
                   2,            0.079861,            0.016897,            0.014567,             0.34414,            0.082839,            0.065653,            0.022049,            0.077965,            0.017701,            0.014761,           0.0099741,            0.009893,            0.009893
                   3,            0.078012,            0.016876,            0.014227,             0.20789,               0.109,            0.069705,            0.025526,            0.077191,            0.017321,            0.013309,           0.0098515,           0.0098515,           0.0098515
                   4,            0.075621,            0.016434,            0.012783,             0.15961,             0.13755,            0.086247,            0.030808,            0.074105,             0.01751,            0.011953,           0.0098515,           0.0098515,           0.0098515
                   5,             0.07463,            0.016458,            0.012918,             0.16592,             0.14002,             0.09482,            0.032497,            0.071871,            0.016867,            0.011864,            0.009802,            0.009802,            0.009802
                   6,            0.073364,            0.016079,            0.011887,             0.24153,             0.16881,             0.10927,            0.040436,             0.06791,            0.017352,            0.010512,           0.0097525,           0.0097525,           0.0097525
                   7,            0.072106,            0.016461,            0.010924,             0.20507,             0.18073,             0.13656,             0.05203,             0.06698,            0.016491,           0.0094497,            0.009703,            0.009703,            0.009703
                   8,            0.071063,            0.015974,            0.010892,             0.20812,             0.18844,             0.12527,            0.045998,            0.067194,             0.01631,           0.0091589,           0.0096535,           0.0096535,           0.0096535
                   9,            0.070578,            0.016398,            0.010422,             0.29385,             0.19883,               0.137,            0.050828,            0.067614,            0.016702,            0.009646,            0.009604,            0.009604,            0.009604
                  10,            0.070192,            0.015766,             0.01096,             0.24651,             0.22358,             0.17203,            0.064439,            0.064023,            0.016169,           0.0084351,           0.0095545,           0.0095545,           0.0095545
                  11,            0.068919,             0.01607,           0.0096524,             0.30987,             0.22901,             0.18782,            0.063044,            0.064026,            0.016084,           0.0085098,            0.009505,            0.009505,            0.009505
